,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim
IWW,IWW,6.5986328125,7.0738956735309575,17487.350000000002,10430.842000000002,2.1737132052765538,0.6691925878113422,4641.0,3.293552536262729,1.2267900998861019,83.9,25.9,23.9
JNT,JNT,2.0107421875,5.295280917949491,3286.9900000000007,923.5940000000002,1.5313703800090483,0.4069938848615864,4.0,1.8578179367418246,0.09760987379892955,16.9,27.7,27.1
JOZ,JOZ,3.0654296875,5.015974481593782,4670.150000000001,1703.2230000000004,1.8042690786364974,0.27338854585444927,64.0,1.606521194919634,0.2875396914873824,14.3,25.3,26.7
JRY,JRY,1.7822265625,4.6,3504.9600000000005,1177.3500000000004,1.711052901579332,0.4164201087789001,0.0,nan,nan,16.3,18.4,33.9
JSN,JSN,3.5927734375,5.188448708429139,2453.4900000000007,979.1120000000002,1.8819340722403914,0.39628318656853584,10.0,1.335958089378833,0.08256606835650997,17.2,13.6,30.5
JSR,JSR,5.1396484375,7.964923100695951,26785.420000000006,24718.962000000007,2.9955503083549146,0.4274356361278974,1664.0,1.8744586333404245,0.2972139226041191,40.1,39.9,39.9
JST,JST,3.7509765625,5.556977595779921,13118.270000000002,6690.225000000001,2.022664319608323,0.25887760049935465,483.0,1.9381073517144582,0.26008640336576305,29.7,29.7,29.5
JSW,JSW,1.8173828125,6.148170459575759,6267.880000000001,2144.8020000000006,1.734489077702192,0.4764982888582527,0.0,nan,nan,32.3,19.6,33.3
KFI,KFI,4.1025390625,10.63014581273465,19121.460000000003,10781.722000000003,2.239078139912342,0.8264302138357927,41778.0,1.6169702641227421,0.28162352921997,37.2,35.7,37.1
LAU,LAU,3.4345703125,5.396295025292817,2381.0600000000004,968.5040000000002,1.91112250751626,0.3284313802321158,6.0,1.2667934775351726,0.02228526941523024,27.7,25.7,13.3
LEV,LEV,2.3271484375,6.931089380465383,8941.450000000003,4353.699000000001,2.010702870606764,0.6841924968024056,192.0,1.476685055389612,0.2862989615970296,24.6,22.6,44.3
LIO,LIO,2.3271484375,6.2,6124.940000000001,2362.7610000000004,1.7351604825226967,0.6016345849176744,110.0,1.3795706207057283,0.1610910160999892,23.3,21.6,30.9
LOS,LOS,2.3271484375,6.20966987850401,3835.770000000001,1461.4000000000003,1.7402303683578464,0.6084546876123476,126.0,1.552211155790522,0.27043891348537885,23.4,21.4,20.5
LOV,LOV,3.6806640625,4.967896939349688,3652.1800000000007,1258.5240000000003,1.623228891694034,0.37409909415820525,36.0,1.453632748740525,0.03904677905628635,14.7,14.7,40.1
LTA,LTA,4.2080078125,10.840664186294122,3704.770000000001,3232.9270000000006,3.199437858225089,0.86907466775278,16.0,1.5900098115194696,0.3711477678516622,22.7,22.7,22.5
LTF,LTF,7.6181640625,8.25832912882503,18516.250000000004,9030.817000000003,1.9628605898177625,0.6967282677606548,1917.0,4.1134334468511105,1.5283708807101797,60.8,52.6,15.3
LTJ,LTJ,2.9951171875,4.223742416388575,2901.2000000000007,820.4270000000002,1.6129246543216675,0.22279906657044682,36.0,2.41198818564959,0.0882337625807349,18.7,18.7,20.1
LTL,LTL,7.8818359375,10.262553288533999,4459.9400000000005,2455.390000000001,1.902188687092105,0.9807510951725424,1056.0,2.8980650704964175,0.8480652271079476,35.2,30.3,13.9
MAR,MAR,2.3271484375,6.4031242374328485,13401.050000000003,4364.390000000001,1.6139874649018342,0.5161719691866972,168.0,1.2293536978702337,0.07854293307027138,24.9,21.6,61.3
MAZ,MAZ,7.7236328125,8.347454701883683,5374.640000000001,2680.4710000000005,2.0807116852116225,0.7715653704773211,203.0,2.7894717538898095,1.1372669827811666,35.0,30.2,15.1
MEI,MEI,7.1962890625,8.461678320522472,7631.9000000000015,4747.0430000000015,2.127985288030956,0.7854130497587869,100.0,1.6445825909667269,0.3058469000487137,26.7,22.8,30.9
MEL,MEL,5.3330078125,7.44043009509531,11322.150000000001,6575.336000000001,2.029867559187938,0.7172760082942128,72.0,2.0927938836780244,0.5322956537011514,38.9,38.9,26.9
MER,MER,3.9619140625,6.51766829472013,5022.000000000001,2014.5850000000005,1.8868133739680353,0.49140080962711047,1050.0,2.0512587294125364,0.5079654712695383,26.9,26.9,18.1
MFI,MFI,5.2451171875,7.260853944268538,12823.860000000002,7306.231000000002,2.2173430182367215,0.6293653760375855,1258.0,3.770383528665589,0.5146641456697797,40.7,40.1,25.9
MFS,MFS,1.3955078125,6.887670143089025,4369.720000000001,1894.7550000000006,1.8799667087618874,0.6387895835505174,0.0,nan,nan,14.0,27.4,36.9
MON,MON,2.3095703125,4.2,2584.2900000000004,705.5240000000001,1.5502171645457734,0.25742436207208963,24.0,1.599149140420703,0.025544096206410884,14.5,14.3,32.9
MOR,MOR,6.1064453125,6.603029607687671,6661.140000000001,3303.143000000001,1.8855542218320958,0.6115973703799418,137.0,2.0264685858439,0.6927804938805686,35.2,38.6,15.1
MOZ,MOZ,7.8818359375,10.373041983911952,16283.740000000003,8657.434000000003,1.9453651868306723,0.8542103738225637,39940.0,3.7518911564714714,1.1550529713315167,60.9,52.6,15.5
MRE,MRE,2.1337890625,6.4404968752418466,4486.210000000001,1838.2530000000004,1.7177229190777272,0.7011282269152421,100.0,1.6796022105545516,0.08036559505466302,15.5,28.9,40.5
MSE,MSE,6.5283203125,7.166589146867567,15678.280000000002,10016.935000000003,2.333613182870358,0.6840626481488034,646.0,1.7827475645251531,0.32018793345217367,36.3,36.3,39.1
MSO,MSO,2.3271484375,6.489992295835181,12087.770000000002,5117.359000000001,1.6521229039225658,0.6163137732609588,1089.0,1.783169309483534,0.388369938266892,34.9,30.2,37.5
MTF,MTF,3.9970703125,6.177378084592201,2119.2500000000005,1053.8520000000003,2.1741669137462982,0.5954667086522069,5.0,1.1667336187427662,0.028125790378123475,19.4,60.1,14.7
MTN,MTN,2.1337890625,6.826419266350404,10520.930000000002,5222.499000000002,2.0493880609693553,0.6995945641033166,84.0,1.9067078422605221,0.26411859664278525,38.7,38.7,38.5
MTT,MTT,1.3955078125,6.977105417004964,2502.4600000000005,840.0360000000002,1.539891582205653,0.5990434501530849,0.0,nan,nan,10.4,42.6,22.5
MTW,MTW,2.3798828125,6.489992295835181,3499.2600000000007,1613.4910000000004,1.7560380185657074,0.6609116943090102,6.0,1.2565418380295303,0.10964076346759542,51.0,10.5,22.9
MWW,MWW,2.3271484375,9.923708984044222,11842.140000000003,6956.008000000002,2.3640370901768524,0.7693356450792361,20.0,1.2793174739340514,0.15164695910090942,28.9,25.1,48.1
NAB,NAB,2.8720703125,4.2708313008125245,1987.5400000000004,504.9360000000001,1.4571796986700782,0.2633544664101868,48.0,1.5728272833149421,0.05031684263886012,14.4,14.4,22.7
NAT,NAT,4.2783203125,4.753945729601885,4399.360000000001,1651.4760000000003,1.8091458860168899,0.3554677794404155,196.0,2.6934021344385144,0.8828413963392012,27.8,26.3,12.9
